Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
G5G Metal,g5g.metal,128 GiB,64 vCPUs,EBS only,25 Gigabit,$3.4326 hourly,$2.3413 hourly,$0.6068 hourly,unavailable,unavailable
G6 Graphics and Machine Learning GPU Extra Large,g6.xlarge,16 GiB,4 vCPUs,250 GB NVMe SSD,Up to 10 Gigabit,$1.0064 hourly,$0.6552 hourly,$0.4117 hourly,$1.1904 hourly,$0.8392 hourly
G6 Graphics and Machine Learning GPU Double Extra Large,g6.2xlarge,32 GiB,8 vCPUs,450 GB NVMe SSD,Up to 10 Gigabit,$1.2225 hourly,$0.7958 hourly,$0.3501 hourly,$1.5905 hourly,$1.1638 hourly
G6 Graphics and Machine Learning GPU Quadruple Extra Large,g6.4xlarge,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,$1.6547 hourly,$1.0772 hourly,$0.7927 hourly,$2.3907 hourly,$1.8132 hourly
G6 Graphics and Machine Learning GPU Eight Extra Large,g6.8xlarge,128 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,$2.519 hourly,$1.6399 hourly,$0.9742 hourly,$3.991 hourly,$3.1119 hourly
G6 Graphics and Machine Learning GPU 12xlarge Extra Large,g6.12xlarge,192 GiB,48 vCPUs,3760 GB (4×940 GB NVMe SSD),40 Gigabit,$5.7543 hourly,$3.746 hourly,$2.9066 hourly,$7.9623 hourly,$5.954 hourly
G6 Graphics and Machine Learning GPU 16xlarge Extra Large,g6.16xlarge,256 GiB,64 vCPUs,1880 GB (2×940 GB NVMe SSD),25 Gigabit,$4.2477 hourly,$2.7653 hourly,$2.2963 hourly,$7.1917 hourly,$5.7093 hourly
G6 Graphics and Machine Learning GPU 24xlarge,g6.24xlarge,384 GiB,96 vCPUs,3760 GB (4×940 GB NVMe SSD),50 Gigabit,$8.3473 hourly,$5.4341 hourly,$1.9803 hourly,$12.7633 hourly,$9.8501 hourly
G6 Graphics and Machine Learning GPU 48xlarge,g6.48xlarge,768 GiB,192 vCPUs,7520 GB (8×940 GB NVMe SSD),100 Gigabit,$16.6946 hourly,$10.8682 hourly,$7.6835 hourly,$25.5266 hourly,$19.7002 hourly
G6e Graphics and Machine Learning GPU Extra Large,g6e.xlarge,32 GiB,4 vCPUs,250 GB NVMe SSD,Up to 20 Gigabit,$2.327 hourly,$1.466 hourly,$0.9594 hourly,$2.511 hourly,$1.65 hourly
G6e Graphics and Machine Learning GPU Double Extra Large,g6e.2xlarge,64 GiB,8 vCPUs,450 GB NVMe SSD,Up to 20 Gigabit,$2.8035 hourly,$1.7662 hourly,$1.0545 hourly,$3.1715 hourly,$2.1342 hourly
G6e Graphics and Machine Learning GPU Quadruple Extra Large,g6e.4xlarge,128 GiB,16 vCPUs,600 GB NVMe SSD,20 Gigabit,$3.7565 hourly,$2.3666 hourly,$1.2535 hourly,$4.4925 hourly,$3.1026 hourly
G6e Graphics and Machine Learning GPU Eight Extra Large,g6e.8xlarge,256 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,$5.6625 hourly,$3.5674 hourly,$1.6793 hourly,$7.1345 hourly,$5.0394 hourly
G6e Graphics and Machine Learning GPU 12xlarge Extra Large,g6e.12xlarge,384 GiB,48 vCPUs,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$13.12 hourly,$8.2656 hourly,$5.1399 hourly,$15.328 hourly,$10.4736 hourly
G6e Graphics and Machine Learning GPU 16xlarge Extra Large,g6e.16xlarge,512 GiB,64 vCPUs,1900 GB (2×950 GB NVMe SSD),35 Gigabit,$9.4745 hourly,$5.969 hourly,$4.3158 hourly,$12.4185 hourly,$8.913 hourly
G6e Graphics and Machine Learning GPU 24xlarge,g6e.24xlarge,768 GiB,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),200 Gigabit,$18.8381 hourly,$11.868 hourly,$6.4007 hourly,$23.2541 hourly,$16.284 hourly
G6e Graphics and Machine Learning GPU 48xlarge,g6e.48xlarge,1536 GiB,192 vCPUs,7600 GB (4×1900 GB NVMe SSD),400 Gigabit,$37.6761 hourly,$23.736 hourly,$9.606 hourly,$46.5081 hourly,$32.568 hourly
G6F Large,g6f.large,8 GiB,2 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.2526 hourly,unavailable,$0.0932 hourly,$0.3446 hourly,unavailable
G6F Extra Large,g6f.xlarge,16 GiB,4 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.297 hourly,unavailable,$0.1251 hourly,$0.481 hourly,unavailable
G6F Double Extra Large,g6f.2xlarge,32 GiB,8 vCPUs,200 GB NVMe SSD,Up to 10 Gigabit,$0.594 hourly,unavailable,$0.2579 hourly,$0.962 hourly,unavailable
G6F Quadruple Extra Large,g6f.4xlarge,64 GiB,16 vCPUs,450 GB NVMe SSD,Up to 25 Gigabit,$1.188 hourly,unavailable,$0.4599 hourly,$1.924 hourly,unavailable
Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large,gr6.4xlarge,128 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,$1.9248 hourly,$1.253 hourly,$0.6272 hourly,$2.6608 hourly,$1.989 hourly
Gr6 Graphics and Machine Learning GPU High RAM ratio Eight Extra Large,gr6.8xlarge,256 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,$3.0593 hourly,$1.9916 hourly,$0.7037 hourly,$4.5313 hourly,$3.4636 hourly
GR6F Quadruple Extra Large,gr6f.4xlarge,128 GiB,16 vCPUs,450 GB NVMe SSD,Up to 25 Gigabit,$1.3331 hourly,unavailable,$0.4812 hourly,$2.0691 hourly,unavailable
H1 Double Extra Large,h1.2xlarge,32 GiB,8 vCPUs,2000 GB HDD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
H1 Quadruple Extra Large,h1.4xlarge,64 GiB,16 vCPUs,4000 GB (2×2000 GB HDD),Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
H1 Eight Extra Large,h1.8xlarge,128 GiB,32 vCPUs,8000 GB (4×2000 GB HDD),10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
H1 16xlarge Extra Large,h1.16xlarge,256 GiB,64 vCPUs,16000 GB (8×2000 GB HDD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
HPC6A 48xlarge,hpc6a.48xlarge,384 GiB,96 vCPUs,EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
HPC6ID 32xlarge,hpc6id.32xlarge,1024 GiB,64 vCPUs,EBS only,200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
HPC7A 12xlarge Extra Large,hpc7a.12xlarge,768 GiB,24 vCPUs,EBS only,300 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
