Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
M6G Medium,m6g.medium,4 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.0385 hourly / vCPU,$0.0241 hourly / vCPU,$0.0137 hourly / vCPU,unavailable,unavailable
M6G Large,m6g.large,8 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0385 hourly / vCPU,$0.0242 hourly / vCPU,$0.0141 hourly / vCPU,unavailable,unavailable
M6G Extra Large,m6g.xlarge,16 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.0385 hourly / vCPU,$0.0242 hourly / vCPU,$0.013 hourly / vCPU,unavailable,unavailable
M6G Double Extra Large,m6g.2xlarge,32 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.0385 hourly / vCPU,$0.0242 hourly / vCPU,$0.0146 hourly / vCPU,unavailable,unavailable
M6G Quadruple Extra Large,m6g.4xlarge,64 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0385 hourly / vCPU,$0.0242 hourly / vCPU,$0.0137 hourly / vCPU,unavailable,unavailable
M6G Eight Extra Large,m6g.8xlarge,128 GiB,32 vCPUs,EBS only,12 Gigabit,$0.0385 hourly / vCPU,$0.0242 hourly / vCPU,$0.0138 hourly / vCPU,unavailable,unavailable
M6G 12xlarge Extra Large,m6g.12xlarge,192 GiB,48 vCPUs,EBS only,20 Gigabit,$0.0385 hourly / vCPU,$0.0242 hourly / vCPU,$0.0125 hourly / vCPU,unavailable,unavailable
M6G 16xlarge Extra Large,m6g.16xlarge,256 GiB,64 vCPUs,EBS only,25 Gigabit,$0.0385 hourly / vCPU,$0.0242 hourly / vCPU,$0.013 hourly / vCPU,unavailable,unavailable
M6G Metal,m6g.metal,256 GiB,64 vCPUs,EBS only,25 Gigabit,$0.0385 hourly / vCPU,$0.0242 hourly / vCPU,$0.0131 hourly / vCPU,unavailable,unavailable
M6GD Medium,m6gd.medium,4 GiB,1 vCPUs,59 GB NVMe SSD,Up to 10 Gigabit,$0.0452 hourly / vCPU,$0.0285 hourly / vCPU,$0.0157 hourly / vCPU,unavailable,unavailable
M6GD Large,m6gd.large,8 GiB,2 vCPUs,118 GB NVMe SSD,Up to 10 Gigabit,$0.0452 hourly / vCPU,$0.0285 hourly / vCPU,$0.0153 hourly / vCPU,unavailable,unavailable
M6GD Extra Large,m6gd.xlarge,16 GiB,4 vCPUs,237 GB NVMe SSD,Up to 10 Gigabit,$0.0452 hourly / vCPU,$0.0285 hourly / vCPU,$0.0187 hourly / vCPU,unavailable,unavailable
M6GD Double Extra Large,m6gd.2xlarge,32 GiB,8 vCPUs,474 GB NVMe SSD,Up to 10 Gigabit,$0.0452 hourly / vCPU,$0.0285 hourly / vCPU,$0.0164 hourly / vCPU,unavailable,unavailable
M6GD Quadruple Extra Large,m6gd.4xlarge,64 GiB,16 vCPUs,950 GB NVMe SSD,Up to 10 Gigabit,$0.0452 hourly / vCPU,$0.0285 hourly / vCPU,$0.0168 hourly / vCPU,unavailable,unavailable
M6GD Eight Extra Large,m6gd.8xlarge,128 GiB,32 vCPUs,1900 GB NVMe SSD,12 Gigabit,$0.0452 hourly / vCPU,$0.0285 hourly / vCPU,$0.0167 hourly / vCPU,unavailable,unavailable
M6GD 12xlarge Extra Large,m6gd.12xlarge,192 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),20 Gigabit,$0.0452 hourly / vCPU,$0.0285 hourly / vCPU,$0.0146 hourly / vCPU,unavailable,unavailable
M6GD 16xlarge Extra Large,m6gd.16xlarge,256 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$0.0452 hourly / vCPU,$0.0285 hourly / vCPU,$0.0159 hourly / vCPU,unavailable,unavailable
M6GD Metal,m6gd.metal,256 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$0.0452 hourly / vCPU,$0.0285 hourly / vCPU,$0.0148 hourly / vCPU,unavailable,unavailable
